,Name,Type,Time,Contact,Province,City,Address,Competive,Coach,Scale,Fee,Lon,Lat,Others
31,泉源极限飞盘队(Fountain),混合/公开,2021.5,泉源社群联系人微信号: 459908203 视频号：泉源飞盘,北京,北京市,东枫国际体育园,否,,,65-80不等,116.469083,39.936691,
32,泉源极限飞盘队(Fountain),混合/公开,2021.5,泉源社群联系人微信号: 459908203 视频号：泉源飞盘,北京,北京市,奥森/太阳宫附近,否,,,65-80不等,116.45498,39.96766,
33,大哥飞盘,混合/公开,2006,公众号：大哥飞盘,北京,北京市,北京奥体中心,是,,,,116.399334,39.983656,
34,GYMGANG飞盘队,混合/公开,2021.9,小红书：Gym Gang飞盘队,北京,北京市,东枫国际体育场路/北京市朝阳区农展馆南路甲9号,是,董天祺，北京大哥队精神队长，盘龄5年,30,无，需邀约制入队考试。,116.469083,39.936691,
35,天津体育学院 Speed 极速飞盘队,学校队伍,,公众号：天体极限飞盘SPEEDultimate小红书:天体speed飞盘 队伍联系人微信号: act-47378,天津,天津市,天津体育学院,是,,,,117.1874717,39.07430627,无
36,南开大学飞盘社,学校队伍,,小红书：南开大学飞盘社（5277093366）微信：15620368461,天津,天津市,南开大学,是,,,,117.1867643,39.08349005,无
37,天津大学 TJU 极限飞盘队,学校队伍,,联系人（小七SeveN）：18950235370,天津,天津市,天津大学,是,,,,117.17474,39.10950403,无
38,天津工业大学SKY极限飞盘协会,学校队伍,,微信：15764431917/公众号：天津工业大学极限飞盘协会/小红书：工大飞盘,天津,天津市,天津工业大学,是,,,,117.1082331,39.0643465,无
39,天津城建大学飞盘协会,学校队伍,,无,天津,天津市,天津城建大学,是,,,,117.0890125,39.09378899,CUUA 说有，但我没查到。
40,医路飞,学校队伍,,公众号：河北医大校园体育最前线,河北,石家庄市,河北医科大学,是,,,,114.5352943,38.04563534,无
41,华北电力大学飞盘协会,学校队伍,,无,河北,保定市,华北电力大学,是,,,,115.5056788,38.87759222,校内飞盘课程
42,河北传媒学院飞盘协会,学校队伍,,无,河北,石家庄市,河北传媒学院,是,,,,114.4580061,38.15259372,校内飞盘课程
43,河北ICU,混合/公开,2022.1,公众号：飞盘运动俱乐部联系人微信号：Frisbee-Lu,河北,石家庄市,河北省石家庄市裕华区雅清街23-a号,是,路佳，十余年飞盘训练经验，常年带队参加国内飞盘比赛。,15人，每周训练1-2次,根据实际情况AA制场地费、训练费等,114.566629,38.019474,
44,Rebels,混合/公开,2011.3,小红书：你个猴儿；微信：15735170361,山西,太原市,祥云公园,是,,100人,,112.54852,37.766952,
45,内蒙古科技大学内科大极限飞盘协会,学校队伍,,无,内蒙古,包头市,内蒙古科技大学,是,,,,109.8270574,40.61927561,CUUA 里有写但是没找到信息
46,内蒙 NM ULTIMATE HOHHOT,混合/公开,2020.9,联系人微信号：joeee_yu,内蒙古,呼和浩特市,成吉思汗笼式足球场地,否,,500 人,50,111.669627,40.855281,
47,沈体 strike 飞盘队,学校队伍,,微信号：STrike-2021 微信13032428021,辽宁,沈阳市,沈阳体育学院,是,,,,123.4364975,41.84031881,无
48,大连理工大学极限飞盘社（蓝精灵）研究生分部,学校队伍,,公众号：大工飞盘/大工研究生极限飞盘B站：大工飞盘,辽宁,大连市,大连理工大学,是,,,,121.5290317,38.88056472,无
49,大连理工大学极限飞盘社（蓝精灵）,学校队伍,,公众号：大工飞盘/大工研究生极限飞盘B站：大工飞盘,辽宁,大连市,大连理工大学,是,,,,121.5290317,41.72474799,无
50,辽宁科技大学飞盘协会,学校队伍,,无,辽宁,鞍山市,辽宁科技大学,是,,,,123.0580689,41.10577287,无
51,鞍山师范学院飞盘协会,学校队伍,,无,辽宁,鞍山市,鞍山师范学院,是,,,,122.9903356,41.07460759,有消息说只有一个人在玩，没有队伍
52,大连财经学院飞盘协会,学校队伍,,无,辽宁,大连市,大连财经学院,是,,,,121.8268398,39.08610486,有飞盘队，没找到公众号
53,大连海事大学DMU飞盘队,学校队伍,2009,微信号：DR2867431106,辽宁,大连市,大连海事大学西山体育场,是,孙老师,50---100,学校校队和社团，无需选手自费,121.5271325,38.87035812,无
54,大连艺术学院大艺凤凰飞盘队,学校队伍,,公众号：大艺凤凰飞盘   小红书：飞盘新光,辽宁,大连市,大连艺术学院,是,,,,121.82915,39.09768968,无
55,大连科技 Seagulls 飞盘队,学校队伍,,微信号：gh_d123b1b49360,辽宁,大连市,大连科技学院,是,,,,121.1498593,38.78128176,无
56,沈阳工业大学飞盘协会,学校队伍,,无,辽宁,沈阳市,沈阳工业大学,是,,,,123.24338,41.7338081,无
57,辽宁对外经贸飓风 Hurricane 飞盘俱乐部,学校队伍,,俱乐部联系人微信号：l2453570581,辽宁,大连市,辽宁对外经贸学院,是,,,,121.1578046,38.81684864,无
58,大连女子飞盘队 （暂定名GDX）,女子队伍,2019,（暂时）微信号：_9454274,辽宁,大连市,红旗足球公园,是,,,,121.531082,38.92695,
59,沈阳飞盘社群,混合/公开,2020,联系人微信:13032428021,辽宁,沈阳市,沈阳市朗朗钢琴广场,否,,200人群 每次活动平均10人-20人,夏季免费 冬季均摊场地费,123.417658,41.743782,
60,大连新光飞盘俱乐部,混合/公开,2022.3,小红书：大连新光飞盘俱乐部/微信号：15524607253,辽宁,大连市,辽宁省大连市奥林匹克广场,是,大连艺术学院，6年,300,30,121.608011,38.908841,
61,沈阳SD-Fly,混合/公开,2022.3,微信：13940491727,辽宁,沈阳市,沈阳市浑南区朗朗钢琴广场,是,沈阳市体育学院极限飞盘选修学生,2000名会员,如需场地费，会AA,123.417658,41.743782,
62,通化师范学院飞盘队,学校队伍,,微信：lihaiyang8899_,吉林,通化市,通化师范学院,是,,,,125.9859342,41.74868908,无
63,通化师范学院飞盘协会,学校队伍,,无,吉林,通化市,通化师范学院,是,,,,125.988454,41.746329,无
64,长春浩淼体育文化,混合/公开,2021.1,公众号：浩淼体育,吉林,长春市,长春市高新区畅达路777号综合体育馆,否,,30人,无,125.315189,43.830916,
65,长春白鹿极限飞盘俱乐部,混合/公开,2015,公众号：JLU极限飞盘微信号：bailudiscs电话咨询：15611817062,吉林,长春市,吉林大学体育场/吉林省长春市前进大街2699号吉林大学,是,东东 地大飞盘 7年钰Max 西安飞盘 5年皮皮 白鹿飞盘 3年,30人,0,125.279835,43.82621,
66,哈尔滨工程大学One piece飞盘社,学校队伍,,无,黑龙江,哈尔滨市,哈尔滨工程大学,是,,,,126.6640617,45.773454,没找到公众号
67,哈尔滨工业大学飞盘协会,学校队伍,,无,黑龙江,哈尔滨市,哈尔滨工业大学,是,,,,126.633495,45.74720829,CUUA 说有没找到信息
68,哈尔滨理工 Catcher22 飞盘队,学校队伍,,李维东 | 微信号：c8-louis,黑龙江,哈尔滨市,哈尔滨理工大学,是,,,,126.6106943,45.71309572,无
69,绥化学院飞盘协会,学校队伍,,无,黑龙江,绥化市,绥化学院,是,,,,126.9715367,46.62210388,无
70,同济 tjuf 飞盘队,学校队伍,,公众号：同济飞盘联系人微信：cyj2532309190,上海,上海市,同济大学,是,,,,121.4598868,31.26295036,无
71,复旦大学飞盘协会,学校队伍,,微信号：fdu_ultimate,上海,上海市,复旦大学,是,,,,121.4980327,31.29365392,无
72,上海对外经贸大学飞盘协会,学校队伍,,公众号：上经贸大飞盘小红书：上经贸大飞盘俱乐部俱乐部联系人微信号：b844053524,上海,上海市,上海对外经贸大学,是,,,,121.4008939,31.20720933,无
73,上海工程技术大学飞盘协会,学校队伍,,无,上海,上海市,上海工程技术大学,是,,,,121.3970132,31.20545298,无
74,上海科技大学飞盘协会,学校队伍,,微信号：gh_52ffaf9abe0a（公众号名称：可积飞盘Corgi）,上海,上海市,上海科技大学,是,,,,121.5924947,31.17650259,无
75,上海交通大学飞盘协会,学校队伍,,微信号: sjtufrisbee,上海,上海市,上海交通大学,是,,,,121.4223504,31.19644082,无
76,华东政法 ECUPL 飞盘队,学校队伍,,公众号：Ecupl飞飞飞飞盘社联系人微信号：littletz/xxl13369981609,上海,上海市,华东政法大学,是,,,,121.4147763,31.22189996,无
77,华东师范 TwinS 幻狮飞盘队,学校队伍,,微信号：gh_a89f7e133dac（公众号名称：ECNU极限飞盘）,上海,上海市,华东师范大学,是,,,,121.4069363,31.2276945,无
78,上海大学飞盘协会,学校队伍,,公众号：上海大学极限飞盘／小红书：上海大学极限飞盘／俱乐部联系人微信号：cy13925454109,上海,上海市,上海大学,是,,,,121.3891637,31.3171223,无
79,上海健康医学院 SUMHS 极限飞盘队,学校队伍,,微信号：SUMHS-UTF,上海,上海市,上海健康医学院,是,,,,121.6080245,31.09989095,无
80,上海海洋大学飞盘队,学校队伍,,校内体育课,上海,上海市,上海海洋大学,是,,,,121.89691,30.882894,无
81,上海体育学院飞盘队,学校队伍,,校内体育课,上海,上海市,上海体育学院,是,,,,121.525343,31.312332,无
82,中央美院上海分院飞盘队,学校队伍,,校内体育课,上海,上海市,中央美院上海分院,是,,,,121.932291,30.881952,无
83, cheetahs,学校队伍,,微信号 j1836231881,上海,上海市,上海七宝德怀特高级中学,是,,,,121.3813715,31.13865282,无
84,包玉刚极限飞盘队,学校队伍,,俱乐部联系人微信号：qingfengbuguoer/jzy_13141210公众号：YKP Ultimate,上海,上海市,包玉刚实验学校,是,,,,121.1920897,31.03853216,无
85,WASH,学校队伍,,wechat：Kevnwithnoi,上海,上海市,上海尚德实验学校,是,,,,121.5950952,31.13676283,无
86,Nanmo Lions,学校队伍,,校飞盘队联系人（主理人）微信号：18817750122,上海,上海市,上海民办南模中学,是,,,,121.445718,31.177441,无
87,Pathfinder,学校队伍,,WX：Xovt712 or Astro_WANG_42,上海,上海市,上海阿德科特进修学校,是,,,,121.19643,31.09470779,无
88,Vapour,学校队伍,,公众号： Vapour UCS联系人微信号：zk1399952061,上海,上海市,上海领科双语学校,是,,,,121.3397147,31.13016804,无
89,Wolves,学校队伍,,18016099762,上海,上海市,上海市万源城协和双语学校,是,,,,121.3965334,31.14562453,无
90,SCLS WINGS,学校队伍,,校队联系人微信号：sunnysun20040721/mfxmfxmfx05（均可）,上海,上海市,上海宋庆龄学校大,是,,,,121.2412816,31.1419369,无
91,YONSEED,青训队伍,2014,小红书：YONSEED_KUBA,上海,上海市,浦东联洋社群附近绿地or球场,否,教练KUBA和很多出色的高校飞盘选手。KUBA盘龄11年，曾在YONSEED不同活动训练担任过教练的飞盘选手包括Et sandy frank jenny等等…,主要是针对青少年 七年累计越3-4k总人数,100-200不同活动内容,121.561538,31.22721,
92,lumos Maxima,女子队伍,2018,公众号：lumos MAXIMA 2018小红书：lumos飞盘俱乐部,上海,上海市,上海滩运动公社：上海市浦东新区张杨北路2700号,是,2022教练：小白Leo，盘龄8年，teams:CMBK、ChuChai、Huwa、Fling、宁波UFO、Double T、NutsCracker、2016&2019中国混合队；心宇Kyle，盘龄9年，teams:宁波UFO、Huwa、CMBK、ChuChai,队伍18～22人 ，每年训练营公开报名人数不等,训练一般平摊场地费 90～120/次,121.591666,31.307292,
93,上海Sirens女子飞盘队,女子队伍,2015.12,官 网：http://www.sirensultimate.com公众号：上海女子飞盘SirensUltimateclub小红书：上海Sirens女子飞盘俱乐部（小红书号：129435234）联系人微信号：sherrylee0213,上海,上海市,江湾体育场,是,教练：Nick林盘龄：2008年开始玩盘，13年北美飞盘经验。,40~50人,,121.516557,31.306615,
94,上海Sirens女子飞盘队,女子队伍,2015.12,官 网：http://www.sirensultimate.com公众号：上海女子飞盘SirensUltimateclub小红书：上海Sirens女子飞盘俱乐部（小红书号：129435234）联系人微信号：sherrylee0213,上海,上海市,上海瑞可碧橄榄球俱乐部,是,教练：Nick林盘龄：2008年开始玩盘，13年北美飞盘经验。,40~50人,,121.591265,31.307127,
95,Griffin Ultimate 女子,女子队伍,2022.1,小红书官号：戈里芬体育联系人微信：gaojingfen001,上海,上海市,上海浦东SCSC,是,参与组建了中国第一支女子竞技队上海Sirens，并在过去5年持续接受系统性女子竞技飞盘训练。,30,训练营118元/次,121.5666221,31.28735874,
96,YONSEED,混合/公开,2014,小红书：YONSEED_KUBA,上海,上海市,浦东联洋社群附近绿地or球场,否,教练KUBA和很多出色的高校飞盘选手。KUBA盘龄11年；曾在YONSEED不同活动训练担任过教练的飞盘选手包括Et sandy frank jenny等等…,主要是针对青少年 七年累计越3-4k总人数,100-200不同活动内容,121.561538,31.22721,
97,DISCO.,混合/公开,2022.1,微信号：FitnessGirls2020 /小红书：DISCO.（6316949368）,上海,上海市,新虹桥中心花园北门球场（上海市长宁区延安西路2238号）,是,Fred史策2013-2017年 英国世界飞盘锦标赛 中国国家队  Eason中国队U20国家队队员上海U24队员,,,121.4039544,31.20152625,
98,上海黑猫飞盘俱乐部,混合/公开,2018.4,公众号：上海黑猫极限飞盘队小红书：黑猫飞盘俱乐部联系人微信号：dorothyw,上海,上海市,上海市徐汇区龙腾大道3399号西岸营地（西岸金融城）,是,小潘 盘龄10+年 上海出差 沪蛙等晓飞 盘龄10+年 上海出差 沪蛙 Aougc中国国家队混合队,社群2000人，竞技队50人,120,121.463003,31.18297374,
99,FunCity奉贤社群,混合/公开,2021.12,俱乐部联系人：YuAN--67,上海,上海市,上海市奉贤区创林足球场,否,,100,0,121.441137,30.929741,
100,上海山坡飞盘俱乐部,混合/公开,2020.6,公众号：上海山坡飞盘，小红书：上海山坡飞盘俱乐部，俱乐部联系人：18601670167,上海,上海市,上海市虹口区广粤支路89号,是,总教练：徐江军Ivan，盘龄15年，代表国家队参加洲际比赛，全国比赛获得过两次冠军，多次获得公开赛赛事MVP,700人左右,65-120不等的队内训练，新人营，pickup等,121.4594237,31.2977909,
101,上海之翼（Shanghai Wings），2011年建队为上海之翼，之后改为鲲鹏飞盘俱乐部 2022年初改回了上海之翼,混合/公开,2011,公众号：上海鲲鹏飞盘（还没来得及改名） 小红书 ：上海之翼（Shang Wings）队长微信：qq514400760,上海,上海市,古北体汇，上海闵行区红松东路620号,是,混合队队长：L，江浩波，13年开始在宁波诺丁汉大学UFO飞盘社开始玩盘，2020年在上海工作后加入Wings女子队队长：王炎，12年左右开始玩盘，前wings队长,三四十人，以队伍为主,队员参加训练每次80元,121.398873,31.189377,
102,LEPAN楽伴飞盘俱乐部,混合/公开,2021.9,小红书：LEPAN楽伴飞盘俱乐部俱乐部联系人：qingfengbuguoer,上海,上海市,上海普陀,是,Panhuligans/huwa/chuchai/lumosMAXIMA,？还行,60-120,121.39547,31.249618,
103,LEPAN楽伴飞盘俱乐部,混合/公开,2021.9,小红书：LEPAN楽伴飞盘俱乐部俱乐部联系人：qingfengbuguoer,上海,上海市,上海浦东,是,Panhuligans/huwa/chuchai/lumosMAXIMA,？还行,60-120,121.544346,31.221461,
104,PEight,混合/公开,2022,Cax/Wechat：caxtonhuang0316,上海,上海市,上海市嘉定区市民运动公园足球公园,否,,小,15 or more,121.240009,31.324543,
105,朱雀飞盘队,混合/公开,2022,微信cj9217,上海,上海市,局门路球场,是,CJ，沪蛙/出差/复旦，国家二级运动员，盘龄11年，排球/飞盘国家队选手。B站飞盘up主【玩飞盘的排球少年】。,社群规模2000人+,80-120元,121.480237,31.192249,
106,朱雀飞盘队,混合/公开,2022,微信cj9217,上海,上海市,外马路黄浦世博体育园,是,CJ，沪蛙/出差/复旦，国家二级运动员，盘龄11年，排球/飞盘国家队选手。B站飞盘up主【玩飞盘的排球少年】。,社群规模2000人+,80-120元,121.501499,31.205116,
107,i星俱乐部,混合/公开,2021.7,小红书：i星俱乐部 联系人微信号：zyh1518,上海,上海市,上海黄浦体育园,否,,700,98-120,121.501499,31.205116,
108,i星俱乐部,混合/公开,2021.7,小红书：i星俱乐部 联系人微信号：zyh1518,上海,上海市,乐动足球场,否,,700,98-120,121.5017378,31.20497516,
109,HUWA,混合/公开,1999,公众号: Huwa Family Or contact any of the captains,上海,上海市,Jiangwan Stadium,是,We don’t have coaches， Captains take care of everything,It depends,It depends,121.516557,31.306615,
110,拿铁飞盘俱乐部,混合/公开,2021.6,公众号：拿铁飞盘俱乐部/小红书：拿铁飞盘俱乐部/联系人微信号：zhang529457180,上海,上海市,源深体育中心,是,大力,俱乐部成员1000，竞技队20人,18—99,121.534642,31.233004,
111,Ds-Fly,混合/公开,2019.5,hanxiao_527,上海,上海市,上海滩运动公社,是,王家云，同济,25,70每次,121.591666,31.307292,
112,上海多飞极限飞盘俱乐部,混合/公开,2020.7,公众号：上海多飞飞盘微信号：13636445175小红书：上海多飞飞盘俱乐部,上海,上海市,上海市徐汇区零陵路800号,是,教练：Mikl,2500-3000人,88-120,121.440786,31.183244,
113,Neon Zebra,混合/公开,2021.9,小红书：NeonZebra斑马飞盘 抖音：斑马飞盘联系人：chuck1prh,上海,上海市,上海市长宁区北翟路72号洛克公园斑马足球场,是,教练chuck盘年龄：6个月是上海超光速raven竞技队的队员,355人,49/人,121.377022,31.219253,
114,上海邮差飞盘,混合/公开,2021.1,公众号：邮差飞盘小红书：邮差飞盘俱乐部联系人微信号：postmanfrisbee,上海,上海市,上海市浦东新区杨新东路280号中体世博都市运动中心,是,ROY/Pirates,40人,80,121.498386,31.185326,
115,CMBK,混合/公开,2020.4,俱乐部联系人：17891912872,上海,上海市,静安,是,王晓飞 10年Huwa/Junk/UFO/Firestorm（Aus）/DoubleT,25人,,121.447348,31.227718,
116,Shanghai Chuchai/上海出差,混合/公开,2017,微信号:Oliewatensai,上海,上海市,上海江湾体育场,是,,,,121.516557,31.306615,
117,Gravity引力星球,混合/公开,2021.6,全网搜Gravity引力星球 联系微信：gravitystar001,上海,上海市,世博黄浦体育园,是,Josh ，U20，U24国青队主教练，WFDF Game Advisor上海之翼俱乐部。盘龄10年；少爷，西安体院,5500人,120/场,121.501499,31.205116,
118,Gravity引力星球,混合/公开,2021.6,全网搜Gravity引力星球 联系微信：gravitystar001,上海,上海市,聚动力河畔球场,是,Josh ，U20，U24国青队主教练，WFDF Game Advisor上海之翼俱乐部。盘龄10年；少爷，西安体院,5500人,120/场,121.479177,31.192844,
119,Gravity引力星球,混合/公开,2021.6,全网搜Gravity引力星球 联系微信：gravitystar001,上海,上海市,乐动足球公园,是,Josh ，U20，U24国青队主教练，WFDF Game Advisor上海之翼俱乐部。盘龄10年；少爷，西安体院,5500人,120/场,121.5017378,31.20497516,
120,Gravity引力星球,混合/公开,2021.6,全网搜Gravity引力星球 联系微信：gravitystar001,上海,上海市,黄兴公园,是,Josh ，U20，U24国青队主教练，WFDF Game Advisor上海之翼俱乐部。盘龄10年；少爷，西安体院,5500人,120/场,121.533383,31.295389,
121,Gravity引力星球,混合/公开,2021.6,全网搜Gravity引力星球 联系微信：gravitystar001,上海,上海市,一兆韦德城市旗舰店,是,Josh ，U20，U24国青队主教练，WFDF Game Advisor上海之翼俱乐部。盘龄10年；少爷，西安体院,5500人,120/场,121.485773,31.231705,
122,上海超光速俱乐部- RAVEN飞盘队,混合/公开,2021,微信：cj9217,上海,上海市,局门路球场,是,CJ，沪蛙/出差/复旦，国家二级运动员，2011开始玩盘，排球/飞盘国家队选手。B站飞盘up主【玩飞盘的排球少年】。,社群规模2000人+,80-120元,121.480237,31.192249,
123,上海超光速俱乐部- RAVEN飞盘队,混合/公开,2021,微信：cj9217,上海,上海市,龙腾大道3399,是,CJ，沪蛙/出差/复旦，国家二级运动员，2011开始玩盘，排球/飞盘国家队选手。B站飞盘up主【玩飞盘的排球少年】。,社群规模2000人+,80-120元,121.463003,31.18297374,
124,上海超光速俱乐部- RAVEN飞盘队,混合/公开,2021,微信：cj9217,上海,上海市,外马路黄浦世博体育园,是,CJ，沪蛙/出差/复旦，国家二级运动员，2011开始玩盘，排球/飞盘国家队选手。B站飞盘up主【玩飞盘的排球少年】。,社群规模2000人+,80-120元,121.501499,31.205116,
125,PUTON浦东飞盘俱乐部,混合/公开,2021,小红书：Michael大河 / 俱乐部联系人微信号：yveshe,上海,上海市,浦东琦逸足球公园/上海市浦东新区罗山路1177号,否,,20,120,121.570312,31.231731,
126,猎户座极限飞盘社,学校队伍,,无,江苏,南京市,南京体育学院,是,,,,118.8619015,32.04607822,无
127,Sipo,学校队伍,,微信号：gh_52d46e33232c（公众号名称：西浦飞盘SIPOultimate）,江苏,苏州市,西交利物浦,是,,,,120.7381262,31.27499621,无
128,常熟理工学院飞盘协会,学校队伍,,无,江苏,苏州市,常熟理工学院,是,,,,120.7704561,31.5891888,无
129,南信大极限飞盘社,学校队伍,,无,江苏,南京市,南京信息工程大学,是,,,,118.7100235,32.20540892,公众号归属学校
130,南京邮电 Postman 极限飞盘社,学校队伍,,小红书：南邮Postman极限飞盘协会，公众号：Postman极限飞盘,江苏,南京市,南京邮电大学,是,,,,118.7656015,32.08484207,无
131,南京师范 Phoenix 极限飞盘社,学校队伍,,微信号：gh_bd1c0662090a（公众号名称：南师大极限飞盘社）,江苏,南京市,南京师范大学,是,,,,118.91025,32.106838,无
132,河海大学飞盘协会,学校队伍,,微信号：gh_0d108ee21004（公众号名称：河海极限飞盘）,江苏,南京市,河海大学,是,,,,118.7806878,31.9164125,无
133,南京大学飞盘协会,学校队伍,,无,江苏,南京市,南京大学,是,,,,118.7847813,32.0585817,无
134,南京医科大学 NMU 极限飞盘社,学校队伍,,微信号：NMU-ULTIMATE,江苏,南京市,南京医科大学,是,,,,118.7747737,32.04400058,无
135,苏州大学飞盘协会,学校队伍,,微信号：SUDA_ULTIMATE,江苏,苏州市,苏州大学,是,,,,120.7262026,31.27458018,无
136,锡职 INFINITY 飞盘队,学校队伍,,微信号：WXITUltimateFrisbee,江苏,无锡市,无锡职业技术学院,是,,,,120.2900355,31.5423269,无
